"DemographicAnswer.1","DemographicAnswer.2","DemographicAnswer.3","Answer.1","Answer.2","Answer.3"
"female",22,"Data Science / MSc / TU Wien","4","No","3"
"female",22,"Data Science / MSc / TU Wien","1","No","1"
"female",48,"Data Science / MSc / TU Wien","9","No","5"
"male",25,"Data Science MSc TU Wien","1","Yes","1"
"male",24,"MSc Data Science","6","Yes","4"
"male",22,"Bachelorstudium Software & Information Engineering","7","Yes","5"
"male",26,"Data Science / MSc / TU Wien","6","No","4"
"female",26,"Data Science/MSc/TU Wien","7","No","4"
"male",23,"Data Science","6","No","4"
"female",27,"Data science","4","Yes","5"
"male",45,"Business Informatics/MSc/TU Wien","5","No","5"
"male",23,"Data Science / MSc / TU Wien","3","Yes","5"
"male",22,"Business Informatics/MSc/ TU Wien","9","No","4"
"male",24,"TU Wien","1","Yes","2"
"male",41,"Msc Data Science","8","Yes","4"
"male",57,"Data Science","6","No","4"
"male",27,"Data science","8","Yes","5"
"male",29,"Data Science / MSc / TU Wien","8","Yes","4"
"male",27,"Data Science / MSc / TU Wien","8","Yes","4"
"female",32,"TU Wien","8","No","5"
"female",23,"Data Science","8","No","5"
"male",24,"Data Science / MSc / TU Wien","7","No","4"
"male",24,"Data Science / MSc / TU Wien","7","No","5"
"male",23,"Data Science / MSc / TU Wien","4","Yes","4"
"male",28,"Data Science","6","Yes","1"
"female",30,"Data Science/ MSc / TU Wien","8","No","5"
"female",28,"Mathematics / MSc / TU Wien","8","No","5"
"female",24,"Data Science / TU Wien","4","No","5"
"male",27,"Data Science","1","No","1"
"female",29,"Data Science / MSc / TU Wien","7","Yes","4"
"female",24,"Data Science","5","No","4"
"male",25,"Data Science / MSc / TU Wien","3","No","4"
"male",28,"Data Science","7","Yes","4"
"male",24,"Data Science / MSc / TU Wien","8","Yes","5"
"female",28,"Data Science / MSc / TU Wien","9","Yes","5"
"male",23,"Data Science / MSc / TU Wien","4","No","3"
"male",27,"Data Science","7","Yes","5"
"male",23,"Data Science /MSc / TU Wien","7","No","4"
"male",24,"Data Science","8","Yes","5"
"female",22,"DataScience/ MSc/ TU Wien","5","No","4"
"male",23,"Data Science / MSc / TU Wien","4","No","4"
"male",25,"Data Science","1","No","5"
"male",26,"Data Science","8","No","5"
"male",25,"MSc Data Science","6","No","4"
"male",28,"Data Science / MSc / TU Wien","9","No","4"
"male",25,"Data Science / MSc / TU Wien","6","Yes","3"
"female",47,"Data Science","10","No","5"
"no answer",32,"Data Science","10","Yes","5"
"female",36,"Data Science / MSc / TU Wien","8","Yes","4"
"male",24,"Data Science / MSc / TU Wien","2","No","4"
"female",24,"Data Science","3","No","4"
"male",23,"Data Science","10","Yes","1"
"male",27,"Data Science",NA,"Yes","5"
"female",22,"Data Science","3","No","4"
"male",25,"Data Science","8","Yes","5"
"male",39,"Medical Informatiocs/BSc/TU Wien","2","No","3"
"male",27,"Data Science / MSc / TU Wien","5","No","5"
"male",29,"Data Science / MSc / TU Wien","10","No","4"
"male",28,"Data Science","7","Yes","5"
"male",26,"Bachelor for Mathematics","3","Yes","3"
"diverse",23,"Data Science / MSc / TU Wien","1","No","4"
"male",26,"Data science","7","Yes","5"
"male",26,"MSc Data Science at TU Wien","4","No","5"
"male",25,"Data Science / MSc / TU Wien","7","No","5"
"male",27,"Data Science MSc TU Wien","7","No","5"
"male",29,"Data Science","2","No","3"
